date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:27	345941/345941	---MCZ	200	added ('OK')	text/html	etag:%221655-1658053484;gz%22	https://daquyphongthuylnj.com/	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/index.html	(from )
23:49:27	122/122	---M-Z	200	added ('OK')	text/plain	etag:%221885-1658083664;gz%22	https://daquyphongthuylnj.com/robots.txt		(from )
23:49:29	5842/5842	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jul%202022%2016:49:27%20GMT	http://gmpg.org/xfn/11	/Users/lixxkook/websites/landing-ptj/gmpg.org/xfn/11.html	(from https://daquyphongthuylnj.com/)
23:49:29	1229/1229	---M--	403	error ('Forbidden')	text/html	date:Sat,%2023%20Jul%202022%2016:49:29%20GMT	https://daquyphongthuylnj.com/xmlrpc.php	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/xmlrpc.php	(from https://daquyphongthuylnj.com/)
23:49:30	30864/30864	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2014:48:06%20GMT	https://daquyphongthuylnj.com/wp-content/plugins/ot-flatsome-vertical-menu/libs/menu-icons/vendor/codeinwp/icon-picker/css/types/font-awesome.min.css	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/wp-content/plugins/ot-flatsome-vertical-menu/libs/menu-icons/vendor/codeinwp/icon-picker/css/types/font-awesome.min.css	(from https://daquyphongthuylnj.com/)
23:49:31	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Jul%202022%2016:49:31%20GMT	http://fonts.googleapis.com/	/Users/lixxkook/websites/landing-ptj/fonts.googleapis.com/index.html	(from https://daquyphongthuylnj.com/)
23:49:32	86682/86682	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jul%202022%2016:49:31%20GMT	http://s.w.org/	/Users/lixxkook/websites/landing-ptj/s.w.org/index.html	(from https://daquyphongthuylnj.com/)
23:49:32	815/815	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2014:48:06%20GMT	https://daquyphongthuylnj.com/wp-content/plugins/ot-flatsome-vertical-menu/libs/menu-icons/css/extra.min.css	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/wp-content/plugins/ot-flatsome-vertical-menu/libs/menu-icons/css/extra.min.css	(from https://daquyphongthuylnj.com/)
23:49:32	2731/2731	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Mar%202022%2007:59:49%20GMT	https://daquyphongthuylnj.com/wp-content/plugins/contact-form-7/includes/css/styles.css	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://daquyphongthuylnj.com/)
23:49:33	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2014:48:07%20GMT	https://daquyphongthuylnj.com/wp-content/plugins/font-awesome-4-menus/css/font-awesome.min.css	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/wp-content/plugins/font-awesome-4-menus/css/font-awesome.min.css	(from https://daquyphongthuylnj.com/)
23:49:34	3546/3546	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2014:48:06%20GMT	https://daquyphongthuylnj.com/wp-content/plugins/ot-flatsome-vertical-menu/assets/css/style.css	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/wp-content/plugins/ot-flatsome-vertical-menu/assets/css/style.css	(from https://daquyphongthuylnj.com/)
23:49:35	28546/28546	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2014:48:07%20GMT	https://daquyphongthuylnj.com/wp-content/plugins/woocommerce-products-filter/css/front.css	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/wp-content/plugins/woocommerce-products-filter/css/front.css	(from https://daquyphongthuylnj.com/)
23:49:36	10768/10768	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2014:48:07%20GMT	https://daquyphongthuylnj.com/wp-content/plugins/woocommerce-products-filter/js/chosen/chosen.min.css	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/wp-content/plugins/woocommerce-products-filter/js/chosen/chosen.min.css	(from https://daquyphongthuylnj.com/)
23:49:37	13261/13261	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2014:48:07%20GMT	https://daquyphongthuylnj.com/wp-content/plugins/woocommerce-products-filter/js/malihu-custom-scrollbar/jquery.mCustomScrollbar.css	/Users/lixxkook/websites/landing-ptj/daquyphongthuylnj.com/wp-content/plugins/woocommerce-products-filter/js/malihu-custom-scrollbar/jquery.mCustomScrollbar.css	(from https://daquyphongthuylnj.com/)
